date,symbol,quantity,price,fees,notes
2025-05-26 14:45:00+00:00,TAO,0.79,442.63,0.0,buy
2025-05-26 14:45:00+00:00,APT,30.08,5.3389,0.0,buy
2025-05-26 14:45:00+00:00,BTC,0.01886,109608.89,0.0,buy
2025-05-26 14:45:00+00:00,SUI,65.32,3.47,0.0,buy
2025-05-26 14:45:00+00:00,HBAR,1738.27,0.18267,0.0,buy
2025-05-26 14:45:00+00:00,SOL,6.9953,173.59,0.0,buy
2025-05-26 14:50:00+00:00,HYPE,7.15,37.39,0.0,buy
2025-05-26 14:50:00+00:00,CFG,790.0,0.2407,0.0,buy
2025-05-26 14:50:00+00:00,SYRUP,300.49,0.4269,0.0,buy
2025-05-26 14:50:00+00:00,WAL,514.65,0.5414,0.0,buy
2025-05-26 14:50:00+00:00,PENDLE,27.37,4.3662,0.0,buy
2025-05-26 14:50:00+00:00,ONDO,321.92,0.9379,0.0,buy
2025-05-26 14:50:00+00:00,MORPHO,91.13,1.4736,0.0,buy
2025-09-23 17:55:00+00:00,DEEP,776.0,0.1163,0.0,buy
2025-10-02 19:10:00+00:00,ASTER,217.0,1.63,0.0,buy
2025-11-20 07:05:01.689000+00:00,ONDO,50.0,0.55,0.0,
2025-11-20 07:19:13.342000+00:00,ONDO,-50.0,0.55,0.0,
